OPERATION_PRODUCT,OPERATION_ID,EMPLOYEE_ID,MACHINE_CODE,SHIFT,HOUR,OT_FLAG,PLANED_QUANTITY,PM_EMPLOYEE_ID,IS_SCRAP
100260710.9_HOLES_PIERCE_EMBOSS,O0088,E057,PP12,Second,1,0,550,E1016,1
100260710.9_HOLES_PIERCE_EMBOSS,O0088,E057,PP12,Second,2,0,100,E1016,0
100260710.9_HOLES_PIERCE_EMBOSS,O0088,E057,PP12,Second,3,0,50,E1016,0
100260710.TOP_SIDE_HOLES_PIERCE,O0071,E057,PP13,Second,2,0,100,E1016,0
100260710.TOP_SIDE_HOLES_PIERCE,O0071,E057,PP13,Second,3,0,50,E1016,0
9254916692.1ST_DRAW,O0002,E057,HP06,Second,1,0,40,E1016,0
9254916692.4TH_DRAW,O0005,E1001,HP05,Second,2,0,100,E1043,0
100260710.1ST_DRAW,O0002,E057,PP09,Second,1,0,100,E1016,1
100260710.1ST_DRAW,O0002,E057,PP09,Second,2,0,50,E1016,0
9254916692.1ST_DRAW,O0002,E057,HP06,Second,1,0,10,E1016,0
9254916692.1ST_DRAW,O0002,E057,HP06,Second,3,0,100,E1016,0
9259076592.NOTCH,O0051,E1053,NM01,General,1,0,316,E1060,1
9259076592.NOTCH,O0051,E1053,NM01,General,2,0,500,E1060,0
9259076592.NOTCH,O0051,E1053,NM01,General,3,0,500,E1060,0
100261280.CO2_WELD,O0021,E1059,MIG03,General,1,0,542,E1060,0
9259076592.ROBOT_CO2_WELD,O0060,E1051,ROW2,General,1,0,6,E1060,0
9259076592.LEAK_CHECK,O0048,E1054,LM01,General,1,0,794,E1060,0
9259076592.LEAK_CHECK,O0048,E1054,LM01,General,2,0,6,E1060,0
9259076592.LEAK_CHECK,O0048,E1054,LM01,General,3,0,785,E1010,0
9709090124.COLLAR_FORM,O0022,E056,HP03,General,1,0,300,E1043,1
B1E20504-GUSSET_36NOS_STRIP.BLANK,O0019,E1031,PP06,General,1,0,324,E1043,0
B5437304-F2866213.BLANK,O0019,E1031,PP06,General,2,0,504,E1043,1
9253920415.SIDE_4_HOLE_PIERCE,O0061,E1031,PP06,General,4,0,786,E1043,0
F2835013.TRIM_3_HOLES_PIERCE_PART,O0148,E1031,PP06,General,5,0,500,E1043,0
F2835113.TRIM_3_HOLES_PIERCE_PART,O0148,E1031,PP06,General,6,0,500,E1043,0
F1103713.TRIM,O0072,E1043,HP05,General,1,0,575,E1043,0
9254916692.SIDE_HOLES_PIERCE,O0063,E1027,PP04,General,2,0,83,E1043,0
B0Y17723.CENTRE_PIERCE,O0020,E1027,PP04,General,3,0,728,E1043,0
9253920415.LETTER_PUNCH,O0049,E1012,PP07,General,1,0,786,E1043,1
FE300513.TRIM,O0072,E1012,PP07,General,2,0,510,E1043,0
100262820.FORM,O0041,E057,PP07,General,3,0,1000,E1043,0
FL204813.U_FOLD,O0096,E1037,PP03,General,1,0,504,E1043,0
F1103713.CENTRE_PIERCE,O0020,E1043,HP05,General,3,0,575,E1043,1
B0Y17752.FORM,O0041,E1037,PP03,General,4,0,525,E1043,0
B0Y17728.FOLD,O0037,E1037,PP03,General,5,0,372,E1043,0
B0Y17752.BLANK_HOLE_PIERCE,O0095,E1036,PP02,General,1,0,525,E1043,0
